Id,Label,度,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
122825865,122825865,5,0,0,0.140251017
45674330,45674330,2,0,0,0.056100407
72533152,72533152,2,0,0,0.056100407
206741457,206741457,4,0,0,0.112200814
85738930,85738930,4,0,0,0.112200814
93067066,93067066,2,0,0,0.056100407
44300961,44300961,1,0,0,0.028050203
15220768,15220768,1,0,0,0.028050203
42919909,42919909,1,0,0,0.028050203
15137761,15137761,1,0,0,0.028050203
217046870,217046870,2,0,0,0.146331977
28009377,28009377,1,0,0,0.028050203
33611460,33611460,1,0,0,0.028050203
48838633,48838633,1,0,0,0.028050203
57437109,57437109,1,0,0,0.028050203
35200170,35200170,1,0,0,0.028050203
217721579,217721579,1,0,0,0.028050203
89673796,89673796,1,0,0,0.028050203
80895643,80895643,1,0,0,0.028050203
117077225,117077225,1,0,0,0.028050203
86747767,86747767,1,0,0,0.028050203
14702634,14702634,1,0,0,0.028050203
92621563,92621563,1,0,0,0.028050203
28785486,28785486,12,1,0,0
37052717,37052717,1,0,0,0.028050203
14581136,14581136,1,0,0,0.028050203
16155483,16155483,1,0,0,0.028050203
250263010,250263010,1,0,0,0.028050203
169534973,169534973,1,0,0,0.028050203
16278024,16278024,1,0,0,0.028050203
22511729,22511729,1,0,0,0.028050203
217802849,217802849,1,0,0,0.028050203
64550241,64550241,1,0,0,0.028050203
76362953,76362953,1,0,0,0.028050203
186606966,186606966,1,1,0,0
44942611,44942611,2,1,0,0
92876427,92876427,2,0,0,0.056100407
43457467,43457467,1,0,0,0.028050203
149857783,149857783,4,1.818181818,0,0
67999451,67999451,21,1,37,0.056100407
101549500,101549500,1,0,0,0.028050203
109548597,109548597,1,0,0,0.028050203
144744398,144744398,2,0,0,0.236563548
102420077,102420077,1,0,0,0.208513344
39099966,39099966,1,0,0,0.208513344
118415737,118415737,1,0,0,0.208513344
246429655,246429655,1,0,0,0.208513344
65593092,65593092,2,0,0,0.236563548
105541972,105541972,1,0,0,0.208513344
62755345,62755345,1,0,0,0.208513344
62036051,62036051,1,0,0,0.208513344
20970513,20970513,1,0,0,0.208513344
246232522,246232522,1,0,0,0.208513344
160300112,160300112,1,0,0,0.208513344
232590662,232590662,1,0,0,0.208513344
223932915,223932915,1,0,0,0.208513344
203056294,203056294,1,0,0,0.208513344
21411188,21411188,1,1,0,0
14513512,14513512,16,1,0,0
608583,608583,1,0,0,0.028050203
92921618,92921618,2,0,0,0.056100407
35774727,35774727,2,0,0,0.056100407
44649595,44649595,1,0,0,0.028050203
44934270,44934270,1,0,0,0.028050203
45609615,45609615,1,0,0,0.028050203
237329959,237329959,1,0,0,0.028050203
14878534,14878534,2,0,0,0.056100407
247518838,247518838,1,0,0,0.028050203
238701218,238701218,1,0,0,0.028050203
97484136,97484136,2,0,0,0.056100407
106942163,106942163,3,0,0,0.354845322
20810375,20810375,10,1,0,0
129903369,129903369,2,0,0,0.056100407
17840571,17840571,1,0,0,0.028050203
26223622,26223622,2,0,0,0.056100407
24506019,24506019,3,0,0,0.08415061
36775199,36775199,2,0,0,0.056100407
222227916,222227916,2,0,0,0.056100407
16325918,16325918,1,0,0,0.028050203
22342983,22342983,1,0,0,0.028050203
71707127,71707127,1,0,0,0.028050203
39059828,39059828,1,0,0,0.028050203
14256152,14256152,54,1.053571429,55,0.028050203
67667050,67667050,1,0,0,0.118281774
14156899,14156899,1,0,0,0.118281774
34994908,34994908,1,0,0,0.118281774
68194707,68194707,2,0,0,0.236563548
190134007,190134007,1,0,0,0.118281774
133054981,133054981,1,0,0,0.118281774
232716286,232716286,1,0,0,0.118281774
54935911,54935911,1,0,0,0.118281774
144183159,144183159,1,0,0,0.118281774
29544053,29544053,26,0,0,1
18707006,18707006,3,1,4,0.118281774
15247820,15247820,1,0,0,0.118281774
186647245,186647245,2,0,0,0.146331977
39740810,39740810,1,0,0,0.118281774
2938961,2938961,1,0,0,0.118281774
55978203,55978203,1,0,0,0.118281774
146632659,146632659,1,0,0,0.118281774
229066554,229066554,1,0,0,0.118281774
177474356,177474356,1,0,0,0.118281774
120238784,120238784,8,0,0,0.692164304
51047929,51047929,2,0,0,0.146331977
130899493,130899493,1,0,0,0.118281774
164653883,164653883,2,0,0,0.236563548
65252229,65252229,2,1,2,0.118281774
70496068,70496068,2,0,0,0.146331977
162900823,162900823,1,0,0,0.118281774
56226823,56226823,2,0,0,0.146331977
243177266,243177266,1,0,0,0.118281774
250229056,250229056,1,0,0,0.118281774
236523541,236523541,1,0,0,0.118281774
123302934,123302934,1,0,0,0.118281774
227474683,227474683,1,0,0,0.118281774
194079760,194079760,1,0,0,0.118281774
188194615,188194615,1,0,0,0.118281774
128861768,128861768,1,0,0,0.118281774
51967252,51967252,1,0,0,0.118281774
224821370,224821370,1,0,0,0.118281774
137066065,137066065,1,0,0,0.118281774
183767091,183767091,1,0,0,0.118281774
149871984,149871984,1,0,0,0.118281774
203465346,203465346,1,0,0,0.118281774
99673940,99673940,1,0,0,0.118281774
78561205,78561205,1,0,0,0.118281774
250394104,250394104,1,0,0,0.118281774
112964266,112964266,1,0,0,0.118281774
93680971,93680971,1,0,0,0.118281774
235854983,235854983,1,0,0,0.118281774
55968609,55968609,1,0,0,0.118281774
219969952,219969952,1,0,0,0.118281774
14947966,14947966,1,0,0,0.118281774
144555220,144555220,1,0,0,0.118281774
79161446,79161446,1,0,0,0.118281774
75036696,75036696,2,1,0,0
239154941,239154941,1,0,0,0.028050203
198674461,198674461,5,0,0,0.140251017
18087370,18087370,8,1,0,0
231916749,231916749,1,0,0,0.028050203
245056441,245056441,1,0,0,0.028050203
115666997,115666997,1,0,0,0.028050203
245312010,245312010,1,0,0,0.028050203
219808013,219808013,1,0,0,0.028050203
208579419,208579419,1,1,0,0
46759464,46759464,1,0,0,0.388976485
242751590,242751590,2,0,0,0.417026689
38885364,38885364,2,0,0,0.417026689
186865167,186865167,1,0,0,0.388976485
29662823,29662823,10,1.444444444,0,0
107987712,107987712,1,0,0,0.028050203
51264901,51264901,1,0,0,0.028050203
80574507,80574507,1,0,0,0.028050203
18071473,18071473,5,1,4,0.028050203
20885574,20885574,1,0,0,0.028050203
53736470,53736470,1,0,0,0.028050203
182476858,182476858,1,0,0,0.028050203
89732278,89732278,2,0,0,0.056100407
100782551,100782551,1,1,0,0
19819827,19819827,3,0,0,0.08415061
67356873,67356873,4,1,3,0.028050203
217080287,217080287,1,0,0,0.118281774
172576804,172576804,1,0,0,0.118281774
49468514,49468514,2,1,0,0
200172011,200172011,1,0,0,0.028050203
778057,778057,252,1.088560886,0,0
14629577,14629577,1,0,0,0.028050203
16364888,16364888,1,0,0,0.028050203
243926418,243926418,2,0,0,0.056100407
56486104,56486104,2,0,0,0.056100407
16492229,16492229,1,0,0,0.028050203
84070694,84070694,1,0,0,0.028050203
246080901,246080901,1,0,0,0.028050203
18555909,18555909,1,0,0,0.028050203
51889162,51889162,2,0,0,0.056100407
15039130,15039130,1,0,0,0.028050203
162834926,162834926,2,0,0,0.056100407
196525437,196525437,1,0,0,0.028050203
15666021,15666021,1,0,0,0.028050203
69653737,69653737,2,0,0,0.056100407
67182868,67182868,1,0,0,0.028050203
18508610,18508610,1,0,0,0.028050203
48024634,48024634,1,0,0,0.028050203
23091456,23091456,1,0,0,0.028050203
42510594,42510594,1,0,0,0.028050203
34033504,34033504,1,0,0,0.028050203
167426738,167426738,1,0,0,0.028050203
81241104,81241104,1,0,0,0.028050203
17904983,17904983,6,1,4,0.028050203
211222563,211222563,2,0,0,0.056100407
250194782,250194782,1,0,0,0.028050203
31114386,31114386,10,1.4,9,0.028050203
200185878,200185878,1,0,0,0.028050203
73241558,73241558,2,0,0,0.056100407
249740645,249740645,1,0,0,0.028050203
14134979,14134979,1,0,0,0.028050203
