Id,Label,度,Closeness Centrality,Betweenness Centrality,PageRank,Eigenvector Centrality
35600,35600,2,7.598467778,71.92705073,2.06E-04,0.010323009
23728,23728,1,9.141955836,0,0.001831516,0.014791871
2690,2690,2,8.142406489,2218,2.24E-04,0.006474791
23741,23741,6,7.383956737,19060.52833,0.006315604,0.085381228
23886,23886,1,8.383506084,0,0.00148505,0.020477808
35535,35535,2,7.522757999,3625.688227,2.14E-04,0.014676833
23763,23763,4,7.14375845,19248.11709,0.002234988,0.028098838
23766,23766,6,6.485353763,21201.69653,9.86E-04,0.024786445
23767,23767,8,7.356466877,37225.24743,0.00287308,0.056278972
23848,23848,1,8.143307796,0,2.46E-04,0.004605191
23774,23774,2,6.503830554,0,2.10E-04,0.011995013
23823,23823,5,5.520955385,29504.72987,0.005597603,0.083288212
23876,23876,1,7.48490311,0,0.002460161,0.023325655
23882,23882,2,6.503830554,0,2.10E-04,0.011995013
23891,23891,2,6.503830554,0,2.10E-04,0.011995013
23772,23772,7,8.176656151,19271.23627,0.004425329,0.057920011
23773,23773,1,8.356016224,0,2.41E-04,0.006954074
23792,23792,2,8.271744029,0,2.13E-04,0.013156408
23820,23820,3,8.33077963,5141.371289,0.005910184,0.078357869
23867,23867,4,6.743578188,46898.42977,0.005067446,0.066890206
23884,23884,2,7.602974313,0,2.15E-04,0.013954152
10640,10640,2,9.175754845,0,2.19E-04,0.009317819
23777,23777,2,9.175754845,0,0.001099075,0.015354496
23780,23780,1,9.176205498,0,2.45E-04,0.007776746
24243,24243,3,6.647138351,10994.39017,3.28E-04,0.00860074
23854,23854,1,9.330328977,0,0.001045675,0.015840644
23825,23825,2,5.549346553,1054.055556,0.001506206,0.023940616
7174,7174,2,6.496620099,28.83333333,2.19E-04,0.008451019
23840,23840,1,7.90716539,0,8.11E-04,0.007883755
23859,23859,2,7.317260027,2599.96859,0.005402136,0.063877565
1810,1810,2,6.758900406,3813.957166,2.18E-04,0.012278187
24438,24438,2,6.144209103,36430.27588,2.17E-04,0.013753964
123375,123375,2,6.840919333,30982.53286,2.19E-04,0.040318044
23916,23916,2,15.95042812,0,9.81E-04,0.012581262
23928,23928,3,15.94952681,4434,0.001393482,0.017498526
23930,23930,5,14.95223073,8860.833333,0.002282009,0.028201596
23934,23934,2,16.94817485,2218,0.001577201,0.014494312
23952,23952,4,13.95763858,14372.66667,0.001236016,0.021242864
23978,23978,3,14.95403335,6.166666667,0.001266017,0.016168523
23996,23996,2,14.95493466,0,2.12E-04,0.00681716
23948,23948,1,17.9477242,0,3.72E-04,0.00408527
24082,24082,40,12.96439838,100957.8333,0.004315674,0.049506049
24031,24031,2,13.96079315,1105.5,2.17E-04,0.00884125
24004,24004,4,6.578639027,35186.18258,0.002702537,0.030009033
24010,24010,7,7.572780532,13293,0.001154123,0.011878387
24029,24029,2,5.791798107,28898.61833,2.18E-04,0.04467163
24053,24053,8,7.571879225,15505,9.31E-04,0.010030464
22254,22254,1,8.572329878,0,1.34E-04,0.002101576
24028,24028,1,8.572329878,0,1.34E-04,0.002101576
24065,24065,1,8.572329878,0,1.34E-04,0.002101576
36240,36240,1,8.572329878,0,1.34E-04,0.002101576
78178,78178,1,8.572329878,0,1.34E-04,0.002101576
78215,78215,1,8.572329878,0,1.34E-04,0.002101576
24011,24011,17,6.260027039,55661.20281,0.001878857,0.022040365
270,270,1,7.259576386,0,1.30E-04,0.003215624
5305,5305,1,7.259576386,0,1.30E-04,0.003215624
5487,5487,1,7.259576386,0,1.30E-04,0.003215624
8373,8373,1,7.259576386,0,1.30E-04,0.003215624
24017,24017,1,7.259576386,0,1.30E-04,0.003215624
24021,24021,1,7.259576386,0,1.30E-04,0.003215624
24022,24022,1,7.259576386,0,1.30E-04,0.003215624
24024,24024,31,5.497972059,112020.1584,0.003323634,0.046885979
24025,24025,13,6.924290221,32312.99841,0.001444443,0.015892529
24027,24027,1,7.259576386,0,1.30E-04,0.003215624
24033,24033,1,7.259576386,0,1.30E-04,0.003215624
24035,24035,1,7.259576386,0,1.30E-04,0.003215624
24044,24044,1,7.259576386,0,1.30E-04,0.003215624
24061,24061,1,7.259576386,0,1.30E-04,0.003215624
24072,24072,1,7.259576386,0,1.30E-04,0.003215624
24102,24102,1,7.259576386,0,1.30E-04,0.003215624
24114,24114,1,7.259576386,0,1.30E-04,0.003215624
286,286,1,6.497521406,0,1.27E-04,0.005497656
2174,2174,1,6.497521406,0,1.27E-04,0.005497656
2913,2913,1,6.497521406,0,1.27E-04,0.005497656
7800,7800,1,6.497521406,0,1.27E-04,0.005497656
12028,12028,1,6.497521406,0,1.27E-04,0.005497656
14024,14024,1,6.497521406,0,1.27E-04,0.005497656
18923,18923,1,6.497521406,0,1.27E-04,0.005497656
30735,30735,1,6.497521406,0,1.27E-04,0.005497656
73101,73101,1,6.497521406,0,1.27E-04,0.005497656
82827,82827,1,6.497521406,0,1.27E-04,0.005497656
82828,82828,1,6.497521406,0,1.27E-04,0.005497656
82829,82829,1,6.497521406,0,1.27E-04,0.005497656
82833,82833,1,6.497521406,0,1.27E-04,0.005497656
82834,82834,1,6.497521406,0,1.27E-04,0.005497656
82837,82837,1,6.497521406,0,1.27E-04,0.005497656
82841,82841,1,6.497521406,0,1.27E-04,0.005497656
82842,82842,1,6.497521406,0,1.27E-04,0.005497656
82855,82855,1,6.497521406,0,1.27E-04,0.005497656
